user_id,is_manager,email,password,username,create_time
1,0,user1@example.com,^m&ut3&I52MT,user1,2025-06-15 11:36:12
2,1,user2@example.com,y9p9_(Am)bZM,user2,2024-11-30 20:54:12
3,0,user3@example.com,cJBVGAkp6!Q9,user3,2024-12-15 18:15:12
4,1,user4@example.com,0@vJQ^TnmDD1,user4,2025-01-29 22:02:12
5,1,user5@example.com,dZ1_xGb@M0(B,user5,2025-01-26 22:25:12
6,0,user6@example.com,6HPcJSeycG&&,user6,2025-05-09 03:37:12
7,0,user7@example.com,89RXB)iw*gFq,user7,2025-07-31 05:40:12
8,0,user8@example.com,%3*DBg+*E@6X,user8,2025-05-10 22:42:12
9,0,user9@example.com,(O5NBdhg)dQP,user9,2025-04-05 11:08:12
10,0,user10@example.com,AZ&YQtq40PZ(,user10,2024-11-12 14:42:12
11,0,user11@example.com,zkM5WXlaD*^*,user11,2025-05-31 20:40:12
12,0,user12@example.com,D)n(GePuKZ&0,user12,2025-05-27 13:11:12
13,0,user13@example.com,#2MaXWNv+SFe,user13,2025-07-30 06:14:12
14,0,user14@example.com,n3N95VgJ+2EL,user14,2024-12-20 02:43:12
15,0,user15@example.com,q21Ql0Nf(CQT,user15,2025-03-24 09:40:12
16,0,user16@example.com,*L#ByCyW$8P4,user16,2025-02-27 15:02:12
17,0,user17@example.com,IH(3O3AejvZF,user17,2024-09-08 17:12:12
18,0,user18@example.com,+b4ezMpE&FD1,user18,2024-12-06 08:21:12
19,0,user19@example.com,x(94J&qt1h(o,user19,2025-01-14 14:39:12
20,0,user20@example.com,(8%cJSvpl&p%,user20,2025-07-02 07:51:12
21,1,user21@example.com,(Q6(It2BAi9P,user21,2025-03-09 19:18:12
22,0,user22@example.com,gS2%vamJOn0A,user22,2025-08-11 03:13:12
23,0,user23@example.com,#@6rL%bbPxWd,user23,2024-11-11 13:56:12
24,0,user24@example.com,0lS6IAE!*NP2,user24,2024-10-31 08:40:12
25,0,user25@example.com,$@@5MRhserG2,user25,2025-07-27 22:00:12
26,0,user26@example.com,s2g)_QPnlnBw,user26,2024-09-25 22:14:12
27,0,user27@example.com,E0nTYYcO!lEu,user27,2025-03-26 03:41:12
28,0,user28@example.com,^+fIgyOGNz7X,user28,2025-01-15 14:32:12
29,0,user29@example.com,g5UI%7bu#9QM,user29,2024-09-23 13:16:12
30,0,user30@example.com,9^1zzatu^%P7,user30,2025-03-03 18:38:12
31,1,user31@example.com,(4qH+DwIfIF(,user31,2025-08-01 17:28:12
32,0,user32@example.com,6%$0Xujp8$aY,user32,2025-04-27 11:52:12
33,0,user33@example.com,Fw(mGtvyf$5L,user33,2024-12-20 22:07:12
34,0,user34@example.com,MDA8yEaf!H0+,user34,2024-11-23 15:21:12
